company_id	tsx_code	company_name
220	KNG.V	KINGSMEN RESOURCES
221	KGC.V	KESTREL GOLD
222	KTN.V	KOOTENAY SILVER
223	KFR.V	KINGFISHER METALS
224	KUYA.CN	KUYA SILVER
225	KS.V	KLONDIKE SILVER
226	LECR.CN	LEOCOR MINING
227	KTO.V	K2 GOLD
228	LFLR.CN	LAFLEUR MINERALS
229	LG.V	LAHONTAN GOLD
230	LGC.V	LAVRAS GOLD
231	KRI.V	KOBO RESOURCES
232	LIO.V	LION ONE METALS
233	LEGY.V	LEGACY GOLD MINES
234	LMG.V	LINCOLN GOLD MINING
235	LN.TO	LONCOR GOLD
236	LAB.V	LABRADOR GOLD
237	LME.V	LAURION MINERAL EXPLORATION
238	LGD.TO	LIBERTY GOLD
239	LOD.V	LODE GOLD RESOURCES
240	LOT.V	TOMAGOLD
241	LPK.V	LUPAKA GOLD
242	LUM.V	LUMINA GOLD
243	LVG.V	LAKE VICTORIA GOLD
244	LUCA.V	LUCA MINING
245	LUG.TO	LUNDIN GOLD
246	MAI.V	MINERA ALAMOS
247	LSTR.V	LODESTAR METALS
248	MEK.V	METALS CREEK RESOURCES
249	MAG.TO	MAG SILVER
250	MFG.V	MAYFAIR GOLD
251	MFL.V	MAWSON FINLAND
252	MGG.V	MINAURUM GOLD
253	MAU.V	MONTAGE GOLD
254	MIS.CN	MISTANGO RIVER RESOURCES
255	MJS.V	MAJESTIC GOLD
256	MKO.V	MAKO MINING
257	MLM.TO	MCFARLANE LAKE MINING
258	MMET.CN	MIATA METALS
259	MMG.V	METALLIC MINERALS
260	MMN.V	MONARCA MINERALS
261	MMY.V	MONUMENT MINING
262	MND.TO	MANDALAY RESOURCES
263	MGM.V	MAPLE GOLD MINES
264	MAE.V	MARITIME RESOURCES
265	MEX.V	MEXICAN GOLD MINING
266	MNO.TO	MERIDIAN MINING
267	MRZ.V	MIRASOL RESOURCES
268	MSV.TO	MINCO SILVER
269	MTA.V	METALLA ROYALTY & STREAMING
270	MTS.V	METALLIS RESOURCES
271	MTT.V	MAGNA TERRA MINERALS
272	MSA.TO	MINEROS
273	MSG.V	MITHRIL SILVER AND GOLD
274	NAU.V	NEVGOLD
275	NBRK.CN	NEW BREAK RESOURCES
276	NCAU.V	NEWCORE GOLD
277	MUX.TO	MCEWEN MINING
278	NDM.TO	NORTHERN DYNASTY MINERALS
279	NEV.V	NEVADA SUNRISE
280	NEXG.V	NEXGOLD MINING
281	NFG.V	NEW FOUND GOLD
282	NG.TO	NOVAGOLD RESOURCES
283	NGD.TO	NEW GOLD
284	NGEX.TO	NGEX MINERALS
285	NILI.V	SURGE BATTERY METALS
286	NIM.V	NICOLA MINING
287	NKG.V	NEVADA KING GOLD
288	NFLD.CN	EXPLOITS DISCOVERY
289	NL.V	NORTHERN LION GOLD
290	NOM.CN	NORSEMONT MINING
291	NPR.V	NORTH PEAK RESOURCES
292	NRC.V	NATIONS ROYALTY
293	NSG.CN	NORTHSTAR GOLD
294	NTH.V	NORD PRECIOUS METALS
295	NUAG.TO	NEW PACIFIC METALS
296	NVO.TO	NOVO RESOURCES
297	NVPC.CN	NOVA PACIFIC METALS
298	OCG.V	OUTCROP SILVER
299	OCO.V	OROCO RESOURCE
300	ODV.V	OSISKO DEVELOPMENT
301	MUN.V	MUNDORO
302	OGN.V	OROGEN ROYALTIES
303	NCX.V	NORTHISLE COPPER AND GOLD
304	MSR.V	MINSUD RESOURCES
305	OGC.TO	OCEANAGOLD
306	OMGA.CN	OMEGA PACIFIC RESOURCES
307	OIII.V	O3 MINING
308	OMM.V	OMINECA MINING
309	ONAU.V	ONGOLD RESOURCES
310	ONYX.V	ONYX GOLD
311	OPW.V	OPAWICA EXPLORATIONS
312	OR.TO	OSISKO GOLD ROYALTIES
313	ORA.TO	AURA MINERALS
314	ORE.TO	OREZONE GOLD
315	ORV.TO	ORVANA MINERALS
316	OZ.V	VALKEA RESOURCES
317	PA.V	PALAMINA
318	PAAS.TO	PAN AMERICAN SILVER
319	PAL.V	PALAMINA
320	PAU.CN	PROVENANCE GOLD
321	OMG.V	OMAI GOLD MINES
322	PGC.V	PLATO GOLD
323	PGDC.V	PATAGONIA GOLD
324	OLA.TO	ORLA MINING
325	PGX.V	PROSPER GOLD
326	PJX.V	PJX RESOURCES
327	PLY.V	PLAYFAIR MINING
328	PGLD.V	P2 GOLD
329	PPP.V	PROSPECTOR METALS
330	PPX.V	PPX MINING
331	PRB.TO	PROBE GOLD
332	PNTR.V	PANTERA SILVER
333	PEX.V	PACIFIC RIDGE
334	PRU.TO	PERSEUS MINING
335	PRYM.TO	PRIME MINING
336	PRG.V	PRECIPITATE GOLD
337	PX.V	PELANGIO EXPLORATION
338	QIM.CN	QUIMBAYA GOLD
339	QZM.V	QUARTZ MOUNTAIN RESOURCES
340	RAGE.V	RENEGADE GOLD
341	RAMP.V	RAMP METALS
342	RBX.V	ROBEX RESOURCES
343	RDG.V	RIDGELINE MINERALS
344	RDS.V	RADISSON MINING
345	PRIZ.CN	PRISMO METALS
346	REX.V	OREX MINERALS
347	RG.V	ROMIOS GOLD RESOURCES
348	RDU.V	RADIUS GOLD
349	RGLD.CN	RED LAKE GOLD
350	RIO.V	RIO2
351	RK.V	ROCKHAVEN RESOURCES
352	RKR.V	ROKMASTER RESOURCES
353	RLYG.V	RILEY GOLD
354	ROCK.V	EROS RESOURCES
355	ROS.V	ROSCAN GOLD
356	OMI.V	OROSUR MINING
357	RPX.V	RED PINE EXPLORATION
358	RR.CN	RECHARGE RESOURCES
359	RRI.V	RIVERSIDE RESOURCES
360	RSG.CN	ROCKY SHORE GOLD
361	RSLV.V	REYNA SILVER
362	RSM.V	RESOURO STRATEGIC METALS
363	RSMX.V	REGENCY SILVER
364	RTG.TO	RTG MINING
365	PUMA.V	PUMA EXPLORATION
366	RGC.V	RELEVANT GOLD
367	ROX.V	CANSTAR RESOURCES
368	RUA.V	RUA GOLD
369	RVG.V	REVIVAL GOLD
370	RYE.V	RHYOLITE RESOURCES
371	RYR.V	ROYAL ROAD MINERALS
372	SAG.V	STERLING METALS
373	SAM.TO	STARCORE INTERNATIONAL MINES
374	SANU.CN	SANU GOLD
375	SBMI.V	SILVER BULLET MINES
376	SCOT.V	SCOTTIE RESOURCES
377	SCZ.V	SANTACRUZ SILVER
378	SDR.V	STROUD RESOURCES
379	SEA.TO	SEABRIDGE GOLD
380	SEEM.CN	SERRA ENERGY METALS
381	SGC.V	SOLSTICE GOLD
382	SGD.V	SNOWLINE GOLD
383	SGLD.TO	SABRE GOLD MINES
384	RUG.V	RUGBY RESOURCES
385	SGN.V	SCORPIO GOLD
386	SGU.V	SIGNATURE RESOURCES
387	RUSH.V	CAROLINA RUSH
388	SHL.V	HOMELAND NICKEL
389	RUP.TO	RUPERT RESOURCES
390	SIG.V	SITKA GOLD
391	SIL.TO	SILVERCREST METALS
392	SILV.V	SILVER VALLEY METALS
393	SKE.TO	SKEENA GOLD & SILVER
394	SKP.V	STRIKEPOINT GOLD
395	SLI.V	STANDARD LITHIUM
396	SLR.TO	SOLITARIO RESOURCES
397	SLV.CN	SILVER DOLLAR RESOURCES
398	SLVR.V	SILVER TIGER METALS
399	SM.V	SIERRA MADRE GOLD AND SILVER
400	SMN.V	SUN SUMMIT MINERALS
401	SMT.TO	SIERRA METALS
402	SNAG.V	SILVER NORTH RESOURCES
403	SNG.V	SILVER RANGE RESOURCES
404	SOI.V	SIRIOS RESOURCES
405	SOMA.V	SOMA GOLD
406	SPA.V	SPANISH MOUNTAIN GOLD
407	SPMC.V	SOUTH PACIFIC METALS
408	SGO.V	SONORO GOLD
409	SIC.V	SOKOMAN MINERALS
410	SRL.V	SALAZAR RESOURCES
411	SGZ.V	SEGO RESOURCES
412	SSRM.TO	SSR MINING
413	SSV.V	SOUTHERN SILVER EXPLORATION
414	SSVR.V	SUMMA SILVER
415	STGO.TO	STEPPE GOLD
416	SRC.V	STAKEHOLDER GOLD
417	STRR.V	STAR ROYALTIES
418	STS.V	SOUTH STAR BATTERY METALS
419	STU.V	STUHINI EXPLORATION
420	STLR.TO	STLLR GOLD
421	SSL.TO	SANDSTORM GOLD ROYALTIES
422	SVE.V	SILVER ONE RESOURCES
423	SUP.V	NORTHERN SUPERIOR RESOURCES
424	SVRS.V	SILVER STORM MINING
425	SWA.V	SARAMA RESOURCES
426	SWLF.V	SILVER WOLF EXPLORATION
427	SXGC.V	SOUTHERN CROSS GOLD
428	TAJ.V	TAJIRI RESOURCES
429	SPX.V	STELLAR AFRICAGOLD
430	TBK.V	TRAILBREAKER RESOURCES
431	SVM.TO	SILVERCORP METALS
432	SURG.V	SURGE COPPER
433	TDG.V	TDG GOLD
434	TECT.V	TECTONIC METALS
435	TBX.V	TURMALINA METALS
436	TCO.V	TRANSATLANTIC MINING
437	TAU.V	THESIS GOLD
438	TGOL.V	THUNDER GOLD
439	THX.V	THOR EXPLORATIONS
440	TIN.V	TINCORP METALS
441	TK.V	TINKA RESOURCES
442	TLG.TO	TROILUS GOLD
443	TSG.V	TRISTAR GOLD
444	TFPM.TO	TRIPLE FLAG PRECIOUS METALS
445	TMQ.TO	TRILOGY METALS
446	TNR.V	TNR GOLD
447	TM.V	TRIGON METALS
448	TORQ.V	TORQ RESOURCES
449	TERA.CN	TERRA BALCANICA RESOURCES
450	TRX.TO	TRX GOLD
451	TG.V	TRIFECTA GOLD
452	TRO.V	TARANIS RESOURCES
453	TOC.CN	TOCVAN VENTURES
454	TUD.V	TUDOR GOLD
456	TUO.V	TEUTON RESOURCES
457	TWR.V	TOWER RESOURCES
458	TXG.TO	TOREX GOLD RESOURCES
459	TUF.V	HONEY BADGER SILVER
460	TSK.TO	TALISKER RESOURCES
461	USGD.CN	AMERICAN PACIFIC MINING
462	VAU.V	VIVA GOLD
463	VEIN.V	PASOFINO GOLD
464	VG.V	VOLCANIC GOLD MINES
465	VGCX.TO	VICTORIA GOLD
466	VIO.V	VIOR
467	VIPR.V	SILVER VIPER MINERALS
468	VLC.V	VELOCITY MINERALS
469	VML.V	VISCOUNT MINING
470	VOXR.TO	VOX ROYALTY
471	USA.TO	AMERICAS GOLD AND SILVER
472	VVC.V	VVC EXPLORATION
473	VZLA.V	VIZSLA SILVER
474	WAM.V	WESTERN ALASKA MINERALS
475	VROY.V	VIZSLA ROYALTIES
476	WEX.V	WESTERN EXPLORATION
477	WG.CN	WESTWARD GOLD
478	WGF.V	WESCAN GOLDFIELDS
479	WGLD.V	WESTERN GOLD EXPLORATION
480	WGO.V	WHITE GOLD
481	WDO.TO	WESDOME GOLD MINES
482	WHN.V	WESTHAVEN GOLD
483	WHY.V	WEST HIGH YIELD RESOURCES
484	UGD.V	UNIGOLD
485	WGX.TO	WESTGOLD RESOURCES
486	WPG.V	WEST POINT GOLD
487	WPM.TO	WHEATON PRECIOUS METALS
488	WRLG.V	WEST RED LAKE GOLD
489	WRN.TO	WESTERN COPPER AND GOLD
490	WRR.V	WALKER RIVER RESOURCES
491	WVM.V	WEST VAULT MINING
492	XIM.V	XIMEN MINING
493	XTG.TO	XTRA-GOLD RESOURCES
494	XTM.V	TRANSITION METALS
495	YGT.V	GOLD TERRA RESOURCE
496	YRB.TO	YORBEAU RESOURCES
497	ZAC.V	ZACATECAS SILVER
498	WLF.V	WOLFDEN RESOURCES
499	WM.TO	WALLBRIDGE MINING
500	TSLV.V	TIER ONE SILVER
501	ZAU.V	ZODIAC GOLD
