valuation_id,company_id,mkt_cap_per_reserve_oz_precious,mkt_cap_per_mi_oz_precious,mkt_cap_per_resource_oz_precious,mkt_cap_per_mineable_oz_precious,mkt_cap_per_reserve_oz_all,mkt_cap_per_mi_oz_all,mkt_cap_per_resource_oz_all,mkt_cap_per_mineable_oz_all,ev_per_reserve_oz_precious,ev_per_mi_oz_precious,ev_per_resource_oz_precious,ev_per_mineable_oz_precious,ev_per_reserve_oz_all,ev_per_mi_oz_all,ev_per_resource_oz_all,ev_per_mineable_oz_all,mkt_cap_per_production_oz,ev_per_production_oz,last_updated
1615,183,,34.677200311145036,66.80460648176471,,,34.677200311145036,66.80460648176471,,,33.4349002909542,64.41135203110294,,,33.4349002909542,64.41135203110294,,,,2025-03-27 05:34:52+0000
1616,184,,50.33718405248208,14.864866779638321,,,50.33718405248208,14.864866779638321,,,47.59380456736808,14.054730667739516,,,47.59380456736808,14.054730667739516,,,,2025-03-27 05:34:52+0000
1617,185,16.8527984141,,9.798138612848838,12.84022736312381,16.8527984141,67.4111936564,8.55472000715736,12.84022736312381,16.505762986300002,,9.596373829244186,12.575819418133333,16.505762986300002,66.02305194520001,8.378559891522842,12.575819418133333,,,2025-03-27 05:34:52+0000
1618,187,,13.633376079166666,5.8428754625,,,13.633376079166666,5.8428754625,,,12.809719062266666,5.489879598114285,,,12.809719062266666,5.489879598114285,,,,2025-03-27 05:34:52+0000
1619,188,,16.774024391076924,76.0682501455814,,,16.774024391076924,76.0682501455814,,,15.951268809880341,72.33714925410852,,,15.951268809880341,72.33714925410852,,,,2025-03-27 05:34:52+0000
1620,190,,24.225245153165353,20.929293431646258,,,24.225245153165353,20.929293431646258,,,22.328775174417324,19.290846579258503,,,22.328775174417324,19.290846579258503,,,,2025-03-27 05:34:52+0000
1621,191,,28.46576711,12.65145204888889,,,28.46576711,12.65145204888889,,,28.46576711,12.65145204888889,,,28.46576711,12.65145204888889,,,,2025-03-27 05:34:52+0000
1622,192,,49.040975190476196,149.79788785454548,,,34.61715895798319,104.28966875949368,,,45.84059249917858,140.02217345203638,,,32.35806529353782,97.4837916438228,,,,2025-03-27 05:34:52+0000
1623,193,,528.7333426250001,117.49629836111112,,,528.7333426250001,117.49629836111112,,,400.63339430300005,89.02964317844446,,,400.63339430300005,89.02964317844446,,,,2025-03-27 05:34:52+0000
1624,195,137.15944587328767,45.77206650857143,160.20223278,,137.15944587328767,45.77206650857143,160.20223278,,135.26288209621578,45.139156082394294,157.98704628838001,,135.26288209621578,45.139156082394294,157.98704628838001,,,,2025-03-27 05:34:52+0000
1625,196,,26.644492171276596,20.8715188675,,,26.644492171276596,20.8715188675,,,21.183382291702127,16.593649461833333,,,21.183382291702127,16.593649461833333,,,,2025-03-27 05:34:52+0000
1626,197,,,184.60385643181817,,,,184.60385643181817,,,,198.80811132848487,,,,198.80811132848487,,,,2025-03-27 05:34:52+0000
1627,199,,,42.98254612937143,,,,42.98254612937143,,,,42.31261749582857,,,,42.31261749582857,,,,2025-03-27 05:34:52+0000
1628,200,,17.08035418125,6.832141672500001,,,17.08035418125,6.832141672500001,,,16.749942071550002,6.6999768286200005,,,16.749942071550002,6.6999768286200005,,,,2025-03-27 05:34:52+0000
1629,202,,,90.863996222,363.455984888,,,83.87445805107691,363.455984888,,,90.42171266366667,361.68685065466667,,,83.46619630492309,361.68685065466667,,,2025-03-27 05:34:52+0000
