cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
273,271,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-25 21:47:00+0000
274,272,,,1250.0,USD,1200.0,USD,1300.0,USD,1150.0,USD,1100.0,USD,1400.0,USD,1450.0,USD,2025-03-25 00:00:00+0000
275,273,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
276,274,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
277,275,,,,,,,,,,,,,,,,,2025-03-26 01:33:00+0000
278,276,,,,,,,1200.0,USD,,,,,,,1000.0,USD,2025-03-26 01:33:00+0000
279,277,,,,,1417.0,USD,1500.0,USD,,,,,1000.0,USD,1100.0,USD,2025-03-25 21:47:00+0000
280,278,,,,,,,,,,,,,,,,,2025-03-25 18:55:00+0000
281,279,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
282,280,,,,,,,1062.0,CAD,,,,,,,966.0,CAD,2025-03-25 00:00:00+0000
283,281,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
284,282,,,,,,,585.0,USD,,,,,,,585.0,USD,2025-03-25 00:00:00+0000
285,283,,,1195.0,USD,1200.0,USD,1225.0,USD,1100.0,USD,1125.0,USD,1021.0,USD,1050.0,USD,2025-03-26 02:43:00+0000
286,284,,,,,,,,,,,,,,,,,2025-03-25 19:50:00+0000
287,285,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-25 19:50:00+0000
288,286,,,,,,,1000.0,USD,,,,,,,800.0,USD,2025-03-25 20:02:00+0000
289,287,,,,,,,1800.0,USD,,,,,,,1200.0,USD,2025-03-25 20:30:00+0000
290,288,,,,,,,,,,,,,,,,,2025-03-25 20:11:00+0000
291,289,,,,,,,,,,,,,,,,,2025-03-25 20:11:00+0000
292,290,,,,,,,,,,,,,,,,,2025-03-25 20:11:00+0000
293,291,,,,,,,1400.0,USD,,,,,,,1200.0,USD,2025-03-26 05:44:00+0000
294,292,,,,,,,,,,,,,10.0,USD,8.0,USD,2025-03-26 05:44:00+0000
295,293,,,,,,,,,,,,,5.0,USD,3.0,USD,2025-03-26 05:55:00+0000
296,294,,,,,,,,,,,,,,,,,2025-03-26 06:03:00+0000
297,295,,,,,,,937.0,USD,,,,,,,,,2025-03-26 06:30:00+0000
298,296,,,3198.0,CAD,2930.0,CAD,3038.0,CAD,3500.0,CAD,3200.0,CAD,2598.0,CAD,2468.0,CAD,2025-03-26 06:11:00+0000
299,297,,,,,,,1200.0,USD,,,,,,,,,2025-03-26 07:17:00+0000
300,298,,,,,,,1200.0,USD,,,,,,,,,2025-03-26 07:20:00+0000
301,299,,,,,,,,,,,,,,,,,2025-03-26 07:25:00+0000
302,300,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
303,301,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-25 21:47:00+0000
304,302,,,,,,,,,,,,,,,,,2025-03-26 00:00:00+0000
305,303,,,,,,,,,,,,,,,,,2025-03-25 18:52:00+0000
306,304,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
307,305,,,1563.0,USD,1777.0,USD,1650.0,USD,,,,,1108.0,USD,1150.0,USD,2025-03-26 00:00:00+0000
308,306,,,,,,,,,,,,,,,,,2025-03-26 00:00:00+0000
309,307,,,,,,,882.0,USD,,,,,,,,,2025-03-26 00:00:00+0000
310,308,,,,,,,1400.0,USD,,,,,,,950.0,USD,2025-03-26 00:00:00+0000
311,309,,,,,,,1400.0,USD,,,,,,,950.0,USD,2025-03-26 00:00:00+0000
312,310,,,,,,,1500.0,USD,,,,,,,1000.0,USD,2025-03-26 00:00:00+0000
313,311,,,,,,,,,,,,,,,,,2024-05-22 00:00:00+0000
314,312,,,,,,,,,,,,,150.0,USD,160.0,USD,2025-03-26 00:00:00+0000
315,313,,,1481.0,USD,1458.0,USD,1495.0,USD,,,,,1090.0,USD,1073.0,USD,2024-07-27 19:00:00+0000
316,314,,,1252.0,USD,1183.0,USD,1375.0,USD,,,,,1072.0,USD,1175.0,USD,2024-07-27 19:05:00+0000
317,315,,,1885.0,USD,1748.0,USD,1813.0,USD,,,,,1521.0,USD,1475.0,USD,2024-07-27 19:10:00+0000
318,316,,,,,,,,,,,,,,,,,2024-07-27 19:15:00+0000
319,317,,,,,,,,,,,,,,,,,2024-07-27 18:45:00+0000
320,318,,,1422.0,USD,1350.0,USD,1500.0,USD,,,,,1041.0,USD,1075.0,USD,2024-05-27 13:30:00+0000
321,319,,,,,,,,,,,,,,,,,2024-05-27 13:35:00+0000
322,320,,,,,,,,,,,,,,,,,2024-05-27 13:15:00+0000
323,321,,,,,,,1009.0,USD,,,,,,,,,2025-03-26 00:00:00+0000
324,322,,,,,,,,,,,,,,,,,2024-05-27 13:00:00+0000
325,323,,,1600.0,USD,1550.0,USD,1500.0,USD,,,,,1300.0,USD,1250.0,USD,2024-05-27 13:05:00+0000
326,324,,,826.0,USD,805.0,USD,850.0,USD,,,,,,,,,2025-03-26 00:00:00+0000
327,325,,,,,,,,,,,,,,,,,2024-05-27 12:40:00+0000
328,326,,,,,,,,,,,,,,,,,2024-05-27 12:45:00+0000
329,327,,,,,,,,,,,,,,,,,2024-05-27 12:50:00+0000
330,328,,,,,,,,,,,,,,,,,2024-05-27 13:10:00+0000
331,329,,,,,,,,,,,,,,,,,2024-05-27 12:25:00+0000
332,330,,,,,,,691.0,USD,,,,,,,594.0,USD,2024-05-27 12:30:00+0000
333,331,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
334,332,,,,,,,,,,,,,,,,,2024-05-27 12:20:00+0000
335,333,,,,,,,,,,,,,,,,,2024-05-27 13:20:00+0000
336,334,,,,,1050.0,USD,1050.0,USD,,,,,950.0,USD,950.0,USD,2025-03-20 00:00:00+0000
337,335,,,,,,,1050.0,USD,,,,,,,750.0,USD,2025-03-26 00:00:00+0000
338,336,,,,,,,,,,,,,,,,,2024-05-27 12:05:00+0000
339,337,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
340,338,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
