financial_id,company_id,cash_value,cash_currency,cash_date,investments_json,hedgebook,liabilities,liabilities_currency,other_financial_assets,other_financial_assets_currency,market_cap_value,market_cap_currency,enterprise_value_value,enterprise_value_currency,net_financial_assets,net_financial_assets_currency,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,revenue_value,revenue_currency,cost_of_revenue,gross_profit,operating_expense,operating_income,net_income_value,net_income_currency,ebitda,debt_value,debt_currency,last_updated,data_source,shares_outstanding,free_cash_flow
591,404,2400726.0,CAD,,,,89386.0,CAD,,CAD,15479461.0,CAD,9232301.31431,USD,2311340.0,CAD,-35.758257431012225,,,,0.46296296,,-17.363,,CAD,,,1065886.0,,-480991.0,CAD,-857469.0,89386.0,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,343988000,-2569413.0
592,405,3009907.0,CAD,,,,33842468.0,CAD,,CAD,58953696.0,CAD,62950042.645270005,USD,-30832561.0,CAD,-12.6,,,0.6922189,5.163934,1.06,3.165,83835584.0,CAD,63603248.0,20232336.0,11777806.0,8454530.0,-4673722.0,CAD,28074604.0,33842468.0,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,92115200,2298349.0
593,406,1407407.0,CAD,,,,246358.0,CAD,,CAD,55592752.0,CAD,38162611.29033,USD,1161049.0,CAD,-14.499999999999998,,,,0.57312256,,-21.885,,CAD,0.0,0.0,0.0,,-2678223.0,CAD,-2893630.0,246358.0,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,444742016,-6390604.0
594,407,,CAD,,,,,CAD,,,25149168.0,CAD,17632333.17648,USD,,,,,,,1.5789473,,,,CAD,,,,,,CAD,,,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,,
595,429,446466.0,CAD,,,,,CAD,,CAD,3516334.0,CAD,2152315.1534800003,USD,,CAD,-1.6666666666666667,0.0006788866,6.786102062975026e-06,,,,,,CAD,,,366991.0,,-846854.0,CAD,,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,29302800,-253332.0
596,416,139030.0,CAD,,,,,CAD,,CAD,19258372.0,CAD,13404761.86962,USD,,CAD,46.0,,,22.305496,5.609756,22.116,-7.711,732783.0,CAD,92111.0,640672.0,4151666.0,-3510994.0,-2960804.0,CAD,-2101645.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,17766400,-2644367.0
597,410,636654.0,CAD,,,,,CAD,,CAD,23641606.0,CAD,16129001.89672,USD,,CAD,-4.5,,,,0.90909094,,-13.29,,CAD,,,1343881.0,,-4636554.0,CAD,-1637415.0,,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,248859008,-93848.0
598,421,11518000.0,USD,,,,371100000.0,USD,,USD,2869596416.0,USD,3252845056.0,USD,-359582000.0,USD,138.42856,35.888885,0.48449996,16.278349,2.014553,18.452,24.395,176283008.0,USD,0.0,0.0,0.0,,20281050.0,USD,133339000.0,371100000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,296140000,78602872.0
599,412,417347008.0,USD,2024-12-31 00:00:00+0000,,,364532000.0,USD,,USD,3177460224.0,USD,3964466176.0,USD,52815008.0,USD,-8.440860215053762,17.840908,0.057299270072992695,3.191445,1.0226015,3.982,17.568,995617984.0,USD,0.0,0.0,0.0,,-261277000.0,USD,225663008.0,364532000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,202386000,152223872.0
600,413,2570729.0,CAD,,,,,CAD,,CAD,83541824.0,CAD,56769644.41545001,USD,,CAD,-27.5,,,,2.3109243,,,,CAD,,,3652522.0,,-5323896.0,CAD,,,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,309414016,-1613646.0
601,414,5354595.0,CAD,,,,,CAD,,CAD,41390648.0,CAD,25265237.11883,USD,,CAD,-13.166666666666668,,,,0.95641655,,,,CAD,,,2561140.0,,-3123587.0,CAD,,,CAD,2025-03-27 05:34:46+0000,Yahoo Finance,118259000,-4434687.0
602,415,6653000.0,USD,,,,81657000.0,USD,,USD,189620256.0,USD,142580592.0,USD,-75004000.0,USD,5.769231,7.5,-0.25000001,3.5991318,0.019474449,2.706,7.025,52685000.0,USD,0.0,0.0,0.0,,8894000.0,USD,20297000.0,81657000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,252827008,-42330124.0
603,420,32313882.0,CAD,,,,,CAD,,CAD,133853800.0,CAD,71190651.90898,USD,,CAD,-5.142857142857143,-5.4,1.080000000000002,,1.1297072,,-3.702,0.0,CAD,0.0,0.0,0.0,,-20984300.0,CAD,-27425734.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,123939000,-16795540.0
604,417,2086717.0,USD,,,,,USD,,USD,19353524.0,USD,17266804.0,USD,,USD,2.5,,,22.077414,0.37369207,19.697,-7.026,876621.0,USD,0.0,876621.0,1343830.0,-467209.0,5316425.0,USD,-2457531.0,,USD,2025-03-18 06:04:40+0000,Yahoo Finance,77414096,-657615.0
605,418,3226442.0,CAD,,,,,CAD,,CAD,26714458.0,CAD,16467682.89776,USD,,CAD,-2.4,,,,2.2857144,,-3.92,,CAD,,,4753358.0,,-7172548.0,CAD,-5623007.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,54519300,-14742242.0
606,419,723448.0,CAD,,,,,CAD,,CAD,5112844.0,CAD,3077449.42956,USD,,CAD,-13.5,,,,0.5648536,,-7.857,,CAD,,-56503.0,577856.0,-634359.0,-765426.0,CAD,-706512.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,46480400,-734117.0
607,423,10367582.0,CAD,,,,,CAD,,CAD,90835800.0,CAD,56417072.32198,USD,,CAD,-17.0,,,,14.166667,,-16.688,,CAD,,,2554415.0,,-4413005.0,CAD,-4595803.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,165156000,-2772947.0
608,432,2571922.0,CAD,,,,58817.0,CAD,,CAD,28921798.0,CAD,26408656.0,CAD,2513105.0,CAD,-10.0,-10.0,,,0.54347825,,-8.145,,CAD,0.0,0.0,0.0,,-5803090.0,CAD,-3242196.0,58817.0,CAD,2025-03-18 06:04:40+0000,Yahoo Finance,289217984,-4183489.0
609,422,2798242.0,CAD,,,,,CAD,,CAD,72601200.0,CAD,48939551.88338,USD,,CAD,-28.000000000000004,,,,1.8064516,,-30.787,,CAD,,,1465969.0,,-2834959.0,CAD,-2354635.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,268892992,-2810714.0
610,431,354647008.0,USD,,,,108667000.0,USD,,USD,1297973504.0,USD,1176777472.0,USD,245980008.0,USD,11.480769,11.264152,5.969999879999995,4.871121,1.8301654,4.416,9.618,266463008.0,USD,0.0,0.0,0.0,,49678000.0,USD,122348000.0,108667000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,217416000,18949500.0
611,424,506472.0,CAD,,,,1202972.0,CAD,,CAD,71143672.0,CAD,50367862.99091999,USD,-696500.0,CAD,-3.0999999999999996,,,,3.974359,,-118.391,,CAD,,621866.0,5435633.0,-4813767.0,-1746786.0,CAD,-606803.0,1202972.0,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,458991008,
